(1258.25f, 0.0f, -657.5f)
(1269.75f, 0.0f, -657.5f)
(1274.25f, 0.0f, -657.5f)
(1278.75f, 0.0f, -657.5f)
(1283.25f, 0.0f, -657.5f)
(1287.75f, 0.0f, -657.5f)
(1292.25f, 0.0f, -657.5f)
(1303.75f, 0.0f, -657.5f)
(1308.25f, 0.0f, -657.5f)
(1312.75f, 0.0f, -657.5f)
(1317.25f, 0.0f, -657.5f)
(1321.75f, 0.0f, -657.5f)
(1326.25f, 0.0f, -657.5f)
(1337.75f, 0.0f, -657.5f)
(1342.25f, 0.0f, -657.5f)
(1346.75f, 0.0f, -657.5f)
(1351.25f, 0.0f, -657.5f)
(1355.75f, 0.0f, -657.5f)
(1360.25f, 0.0f, -657.5f)
(1371.75f, 0.0f, -657.5f)
(1376.25f, 0.0f, -657.5f)
(1380.75f, 0.0f, -657.5f)
(1385.25f, 0.0f, -657.5f)
(1389.75f, 0.0f, -657.5f)
(1394.25f, 0.0f, -657.5f)
(1405.75f, 0.0f, -657.5f)
(1410.25f, 0.0f, -657.5f)
(1414.75f, 0.0f, -657.5f)
(1419.25f, 0.0f, -657.5f)
(1423.75f, 0.0f, -657.5f)
(1428.25f, 0.0f, -657.5f)
(1439.75f, 0.0f, -657.5f)
(1444.25f, 0.0f, -657.5f)
(1448.75f, 0.0f, -657.5f)
(1453.25f, 0.0f, -657.5f)
(1457.75f, 0.0f, -657.5f)
(1462.25f, 0.0f, -657.5f)
(1473.75f, 0.0f, -657.5f)
(1478.25f, 0.0f, -657.5f)
(1482.75f, 0.0f, -657.5f)
(1487.25f, 0.0f, -657.5f)
(1491.75f, 0.0f, -657.5f)
(1496.25f, 0.0f, -657.5f)
(1507.75f, 0.0f, -657.5f)
(1512.25f, 0.0f, -657.5f)
(1516.75f, 0.0f, -657.5f)
(1521.25f, 0.0f, -657.5f)
(1525.75f, 0.0f, -657.5f)
(1530.25f, 0.0f, -657.5f)
(1541.75f, 0.0f, -657.5f)
(1546.25f, 0.0f, -657.5f)
(1550.75f, 0.0f, -657.5f)
(1555.25f, 0.0f, -657.5f)
(1559.75f, 0.0f, -657.5f)
(1564.25f, 0.0f, -657.5f)
