870.75,0.00,-657.50 870.75,0.00,-671.25 b 20
875.25,0.00,-657.50 875.25,0.00,-671.25 b 20
879.75,0.00,-657.50 879.75,0.00,-671.25 b 20
884.25,0.00,-657.50 884.25,0.00,-671.25 b 20
895.75,0.00,-657.50 895.75,0.00,-671.25 b 20
900.25,0.00,-657.50 900.25,0.00,-671.25 b 20
904.75,0.00,-657.50 904.75,0.00,-671.25 b 20
909.25,0.00,-657.50 909.25,0.00,-671.25 b 20
913.75,0.00,-657.50 913.75,0.00,-671.25 b 20
918.25,0.00,-657.50 918.25,0.00,-671.25 b 20
929.75,0.00,-657.50 929.75,0.00,-671.25 b 20
934.25,0.00,-657.50 934.25,0.00,-671.25 b 20
938.75,0.00,-657.50 938.75,0.00,-671.25 b 20
943.25,0.00,-657.50 943.25,0.00,-671.25 b 20
947.75,0.00,-657.50 947.75,0.00,-671.25 b 20
952.25,0.00,-657.50 952.25,0.00,-671.25 b 20
963.75,0.00,-657.50 963.75,0.00,-671.25 b 20
968.25,0.00,-657.50 968.25,0.00,-671.25 b 20
972.75,0.00,-657.50 972.75,0.00,-671.25 b 20
977.25,0.00,-657.50 977.25,0.00,-671.25 b 20
981.75,0.00,-657.50 981.75,0.00,-671.25 b 20
986.25,0.00,-657.50 986.25,0.00,-671.25 b 20
997.75,0.00,-657.50 997.75,0.00,-671.25 b 20
1002.25,0.00,-657.50 1002.25,0.00,-671.25 b 20
1006.75,0.00,-657.50 1006.75,0.00,-671.25 b 20
1011.25,0.00,-657.50 1011.25,0.00,-671.25 b 20
1015.75,0.00,-657.50 1015.75,0.00,-671.25 b 20
1020.25,0.00,-657.50 1020.25,0.00,-671.25 b 20
1031.75,0.00,-657.50 1031.75,0.00,-671.25 b 20
1036.25,0.00,-657.50 1036.25,0.00,-671.25 b 20
1040.75,0.00,-657.50 1040.75,0.00,-671.25 b 20
1045.25,0.00,-657.50 1045.25,0.00,-671.25 b 20
1049.75,0.00,-657.50 1049.75,0.00,-671.25 b 20
1054.25,0.00,-657.50 1054.25,0.00,-671.25 b 20
1065.75,0.00,-657.50 1065.75,0.00,-671.25 b 20
1070.25,0.00,-657.50 1070.25,0.00,-671.25 b 20
1074.75,0.00,-657.50 1074.75,0.00,-671.25 b 20
1079.25,0.00,-657.50 1079.25,0.00,-671.25 b 20
1083.75,0.00,-657.50 1083.75,0.00,-671.25 b 20
1088.25,0.00,-657.50 1088.25,0.00,-671.25 b 20
